sender_addr,recipient_addr,total_transactions,total_sent,total_received
0x94A6EB17C9f4166912FD5aB349E37DB563F594AC,0xc43BA49b5B4b56600323907841dCBa1222CEF6fb,10,0.0001,0.0001
0x961463e099412F24618575D943bd82ecCC078d1b,0x53917034F12Ecbd19Ff67BF404036e71DffC19AA,10,0.0001,0.0001
0x97C06FCC4161Ad01f9E9f2B708529f4A287C7179,0x47a0CA5207a335cd19bCeDF32F42039F8b65f5E5,10,0.0001,0.0001
0x98005bC26F03eE9aA473ADA53Db54a3A9D07cC32,0x1DB9A87a098a844497E21bF06E55D1a609C7302a,10,0.0001,0.0001
0x995a5a9db721c987ba2120baFe28AAce63b39888,0xb152751186e993C2e3738F260B3C47F986B53af4,10,0.0001,0.0001
0x999607c106e759F8516ABb01EfBBe7DBf0ee8B44,0x86326EcD6C45334B430b96DD10c80469eE9e10FF,10,0.0001,0.0001
0x999830c987dD7eA83d9a8c27cA73E1dE6E0Dc489,0x2840e50F00e4eF82De2901aFf0df7B1bE7494C50,10,0.0001,0.0001
0x9C1D67592a97ddDff6989F0f5419cBe82d43aDC4,0x42a921118995756dE1110e4f6583a86aE11FfA99,10,0.0001,0.0001
0x9Cd1b3500bFcff91dB71850c69e0c462E36B7Fd6,0x593731ec178dc5AE47D3105416697fE93d6Dfd52,10,0.0001,0.0001
0x9E04f20Aa52f048B8E2d501fE9Ca1B7Da7afa5F8,0xEd381d67F478d1b2F732c5bA475AC55d9fd47C24,10,0.0001,0.0001
0x9f32dCCfae15Ed5cc7A06523f242880D3824d550,0x76854B4fcD5ff66D8B1633e03eC413163596fcCC,10,0.0001,0.0001
0x9fBceA4b23B62E6F54da53F290e24A632a5dbf1F,0x0FDb5cDeA0DE997179bE823e9Bea5c6D94eB37D3,10,0.0001,0.0001
0xA19fecf9374ebDB11633189fE80D97b8C8C8fc31,0xa4214fF71F99669303134e5Fb11232Ec22Af36a4,10,0.0001,0.0001
0xA5C217FE6aF17b0C6E418d30A0A9f6D9C6BF557a,0xf42d0cD15593D4D7EaCC2d8FC08074Aa0B5b6B27,10,0.0001,0.0001
0xA5Ec21ac4271312F1439599E7efd74a55B4d7053,0xe912F7310EbFC18A4ce4fa9240FB1088De5900d7,10,0.0001,0.0001
0xA73fAc9AcAB9258B592a99885B7d0448D3073378,0x97A562e381Dfb8B4a169324A4954644427df22B0,10,0.0001,0.0001
0xA7Aace11495B0985D9A6c9607dcA82e03C7afaEc,0xE0a1ca828DefA691A87954623A3B1b4Be43d8FcD,10,0.0001,0.0001
0xA819C377E889656109B134E89889817e31CF457d,0xC5554BD69EdB81a0c51E51F2C89a8686545E09cF,10,0.0001,0.0001
0xADd25dB4dF13751bED0D94568a20ACf0BD7A61C9,0x72B8948A289F74BA6162BB81727323bc1B243bCB,10,0.0001,0.0001
0xAcE1a7A06c5B8fB5d8944d18841fe84393e1d2DD,0x89111633E95e53535aDD0F86FaB0399E7d462C0a,10,0.0001,0.0001
0xAdEabe014F78798AE508B35A479731F1B4c68999,0x016Ec9faf07119790C6156F519E66F416d613F49,10,0.0001,0.0001
0xB336eFAeA1a2F16B36c44435AC792Efd75585166,0xD0836A05cA2c0a3F16928CC24ed30A1D6FCE8B4B,10,0.0001,0.0001
